#name,startNode,endNode,startDirection,endDirection,EOLchannelcount,channelplan,fibername,protection,working,protector,parameter1,parameter2,parameter3,parameter4,parameter5,dhcpPoolDomainName
#Version 5.1,,,,,,,,,,,,,,,,
0002 DWDMU F21 TR5,TR5,F21-1,4,1,96,96 Standard hiT 7300+,F0165,Unprotected,,,,,,,,
0002 DWDMU F21 TR5,TR5,F21-1,4,1,96,96 Standard hiT 7300+,F0167,Unprotected,,,,,,,,
0001 DWDMU F21 TR5,F21-1,TR5,1,4,96,96 Standard hiT 7300+,F0168,Unprotected,,,,,,,,
0001 DWDMU F21 TR5,F21-1,TR5,1,4,96,96 Standard hiT 7300+,F0166,Unprotected,,,,,,,,
0002 DWDMU F20 F7,F7-1,F20-1,3,1,96,96 Standard hiT 7300+,F0075,Unprotected,,,,,,,,
0002 DWDMU F20 F7,F7-1,F20-1,3,1,96,96 Standard hiT 7300+,F0077,Unprotected,,,,,,,,
0001 DWDMU F20 F7,F20-1,F7-1,1,3,96,96 Standard hiT 7300+,F0078,Unprotected,,,,,,,,
0001 DWDMU F20 F7,F20-1,F7-1,1,3,96,96 Standard hiT 7300+,F0076,Unprotected,,,,,,,,
0002 DWDMU F25 F7,F7-1,F25-1,4,2,96,96 Standard hiT 7300+,F0079,Unprotected,,,,,,,,
0002 DWDMU F25 F7,F7-1,F25-1,4,2,96,96 Standard hiT 7300+,F0081,Unprotected,,,,,,,,
0001 DWDMU F25 F7,F25-1,F7-1,2,4,96,96 Standard hiT 7300+,F0082,Unprotected,,,,,,,,
0001 DWDMU F25 F7,F25-1,F7-1,2,4,96,96 Standard hiT 7300+,F0080,Unprotected,,,,,,,,
0001 DWDMU F20 F21,F20-1,F21-1,4,2,96,96 Standard hiT 7300+,F0169,Unprotected,,,,,,,,
0001 DWDMU F20 F21,F20-1,F21-1,4,2,96,96 Standard hiT 7300+,F0171,Unprotected,,,,,,,,
0002 DWDMU F20 F21,F21-1,F20-1,2,4,96,96 Standard hiT 7300+,F0172,Unprotected,,,,,,,,
0002 DWDMU F20 F21,F21-1,F20-1,2,4,96,96 Standard hiT 7300+,F0170,Unprotected,,,,,,,,
0001 DWDMU F20 F26,F20-1,F26-1,5,1,96,96 Standard hiT 7300+,F0173,Unprotected,,,,,,,,
0001 DWDMU F20 F26,F20-1,F26-1,5,1,96,96 Standard hiT 7300+,F0175,Unprotected,,,,,,,,
0002 DWDMU F20 F26,F26-1,F20-1,1,5,96,96 Standard hiT 7300+,F0176,Unprotected,,,,,,,,
0002 DWDMU F20 F26,F26-1,F20-1,1,5,96,96 Standard hiT 7300+,F0174,Unprotected,,,,,,,,
0001 DWDMU F21 F22,F21-1,F22-1,3,1,96,96 Standard hiT 7300+,F0177,Unprotected,,,,,,,,
0001 DWDMU F21 F22,F21-1,F22-1,3,1,96,96 Standard hiT 7300+,F0179,Unprotected,,,,,,,,
0002 DWDMU F21 F22,F22-1,F21-1,1,3,96,96 Standard hiT 7300+,F0180,Unprotected,,,,,,,,
0002 DWDMU F21 F22,F22-1,F21-1,1,3,96,96 Standard hiT 7300+,F0178,Unprotected,,,,,,,,
0002 DWDMU F22 TR7,TR7,F22-1,1,2,96,96 Standard hiT 7300+,F0182,Unprotected,,,,,,,,
0002 DWDMU F22 TR7,TR7,F22-1,1,2,96,96 Standard hiT 7300+,F0183,Unprotected,,,,,,,,
0001 DWDMU F22 TR7,F22-1,TR7,2,1,96,96 Standard hiT 7300+,F0184,Unprotected,,,,,,,,
0001 DWDMU F22 TR7,F22-1,TR7,2,1,96,96 Standard hiT 7300+,F0181,Unprotected,,,,,,,,
0001 DWDMU F22 TR8,F22-1,TR8,3,1,96,96 Standard hiT 7300+,F0185,Unprotected,,,,,,,,
0001 DWDMU F22 TR8,F22-1,TR8,3,1,96,96 Standard hiT 7300+,F0187,Unprotected,,,,,,,,
0002 DWDMU F22 TR8,TR8,F22-1,1,3,96,96 Standard hiT 7300+,F0188,Unprotected,,,,,,,,
0002 DWDMU F22 TR8,TR8,F22-1,1,3,96,96 Standard hiT 7300+,F0186,Unprotected,,,,,,,,
0003 DWDMU TR7 TR8,TR7,TR8,2,2,96,96 Standard hiT 7300+,F0189,Unprotected,,,,,,,,
0003 DWDMU TR7 TR8,TR7,TR8,2,2,96,96 Standard hiT 7300+,F0191,Unprotected,,,,,,,,
0004 DWDMU TR7 TR8,TR8,TR7,2,2,96,96 Standard hiT 7300+,F0192,Unprotected,,,,,,,,
0004 DWDMU TR7 TR8,TR8,TR7,2,2,96,96 Standard hiT 7300+,F0190,Unprotected,,,,,,,,
