#name,startNode,endNode,backname,mode,fiberType,length,measuredLossC,fixFiberMargin,measuredDispersionLambdaRefC,measuredDispersionSlopeC,measuredPmd,lossesToNode,lossesFromNode,deltaRamanGain,estimatedLossC,estimatedDispersionLambdaRefC,estimatedDispersionSlopeC,estimatedPmd,sharedRiskLinkGroup,startNodeType,endNodeType,startSiteLatitudeDeg,startSiteLatitudeMin,startSiteLatitudeSec,startSiteLongitudeDeg,startSiteLongitudeMin,startSiteLongitudeSec,endSiteLatitudeDeg,endSiteLatitudeMin,endSiteLatitudeSec,endSiteLongitudeDeg,endSiteLongitudeMin,endSiteLongitudeSec,startNode.version,endNode.version,startNode.systemType,endNode.systemType,dhcpPoolDomainName,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource,subNetNameTarget,subNetDescriptionTarget,subNetAreaScaleTarget,subNetAreaHeightTarget,subNetAreaWidthTarget,subNetLatitudeTarget,subNetLongitudeTarget,subNetIconLatitudeTarget,subNetIconLongitudeTarget
#Version 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0104,5,S0038-100,F0103,Auto,SSMF,49.4,10.374,0,829.92,0.058,0.351425667,0.25,0.25,0,10.374,829.92,0.058,0.351425667,,ONN-X96,OLR,53,34,54,10,4,38,53,25,47,9,35,58,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0057,4,S0020-100,F0058,Auto,SSMF,88.4,18.564,0,1485.12,0.058,0.47010637,0.25,0.25,0,18.564,1485.12,0.058,0.47010637,,ONN-X96,OLR,50,7,28,8,42,36,50,35,50,8,42,6,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0058,S0020-100,4,F0057,Auto,SSMF,88.4,18.564,0,1485.12,0.058,0.47010637,0.25,0.25,0,18.564,1485.12,0.058,0.47010637,,OLR,ONN-X96,50,35,50,8,42,6,50,7,28,8,42,36,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0065,4,S0025-100,F0066,Auto,SSMF,75.5,15.855,0,1268.4,0.058,0.434453679,0.25,0.25,0,15.855,1268.4,0.058,0.434453679,,ONN-X96,OLR,50,7,28,8,42,36,50,20,7,8,3,4,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0066,S0025-100,4,F0065,Auto,SSMF,75.5,15.855,0,1268.4,0.058,0.434453679,0.25,0.25,0,15.855,1268.4,0.058,0.434453679,,OLR,ONN-X96,50,20,7,8,3,4,50,7,28,8,42,36,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0071,4,S0026-100,F0072,Auto,SSMF,58.5,12.285,0,982.8,0.058,0.382426463,0.25,0.25,0,12.285,982.8,0.058,0.382426463,,ONN-X96,OLR,50,7,28,8,42,36,50,18,13,9,19,10,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0072,S0026-100,4,F0071,Auto,SSMF,58.5,12.285,0,982.8,0.058,0.382426463,0.25,0.25,0,12.285,982.8,0.058,0.382426463,,OLR,ONN-X96,50,18,13,9,19,10,50,7,28,8,42,36,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0083,4,S0031-100,F0084,Auto,SSMF,87.6,18.396,0,1471.68,0.058,0.467974358,0.25,0.25,0,18.396,1471.68,0.058,0.467974358,,ONN-X96,OLR,50,7,28,8,42,36,49,53,29,9,22,37,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0084,S0031-100,4,F0083,Auto,SSMF,87.6,18.396,0,1471.68,0.058,0.467974358,0.25,0.25,0,18.396,1471.68,0.058,0.467974358,,OLR,ONN-X96,49,53,29,9,22,37,50,7,28,8,42,36,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0091,4,S0034-100,F0092,Auto,SSMF,60.5,12.705,0,1016.4,0.058,0.388908729,0.25,0.25,0,12.705,1016.4,0.058,0.388908729,,ONN-X96,OLR,50,7,28,8,42,36,49,48,4,8,38,39,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
