#name,startNode,endNode,backname,mode,fiberType,length,measuredLossC,fixFiberMargin,fiberMarginPerKm,spanFixMargin,totalFiberLoss,measuredDispersionLambdaRefC,measuredDispersionSlopeC,measuredPmd,lossesToNode,lossesFromNode,deltaBackwardPumpingRamanGain,deltaForwardPumpingRamanGain,estimatedLossC,estimatedDispersionLambdaRefC,estimatedDispersionSlopeC,estimatedPmd,sharedRiskLinkGroup,startNodeType,endNodeType,startSiteLatitudeDeg,startSiteLatitudeMin,startSiteLatitudeSec,startSiteLongitudeDeg,startSiteLongitudeMin,startSiteLongitudeSec,endSiteLatitudeDeg,endSiteLatitudeMin,endSiteLatitudeSec,endSiteLongitudeDeg,endSiteLongitudeMin,endSiteLongitudeSec,startNode.version,endNode.version,startNode.systemType,endNode.systemType,dhcpPoolDomainName,protecting,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource,subNetNameTarget,subNetDescriptionTarget,subNetAreaScaleTarget,subNetAreaHeightTarget,subNetAreaWidthTarget,subNetLatitudeTarget,subNetLongitudeTarget,subNetIconLatitudeTarget,subNetIconLongitudeTarget
#Version 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0052,S0062-100,12,F0051,Auto,SSMF,54.5,11.445,0.0,0.01,0.0,13.39,915.6,0.058,0.369120576,0.25,0.25,0.0,0.0,11.445,915.6,0.058,0.369120576,,OLR,ONN-X96,42.0,21.0,45.0,12.0,11.0,8.0,42.0,19.0,12.0,11.0,41.0,59.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0013,12,S0072-100,F0014,Auto,SSMF,100.0,21.0,0.0,0.01,0.0,24.1,1680.0,0.058,0.5,0.25,0.25,0.0,0.0,21.0,1680.0,0.058,0.5,,ONN-X96,OLR,42.0,19.0,12.0,11.0,41.0,59.0,42.0,6.0,23.0,11.0,10.0,21.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0014,S0072-100,12,F0013,Auto,SSMF,100.0,16.56,0.0,0.01,0.0,24.1,1680.0,0.058,1.661324772,0.25,0.25,0.0,0.0,16.56,1680.0,0.058,1.661324772,,OLR,ONN-X96,42.0,6.0,23.0,11.0,10.0,21.0,42.0,19.0,12.0,11.0,41.0,59.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0011,12,S0063-100,F0012,Auto,LEAF Corning,46.5,10.23,0.0,0.01,0.0,11.895,195.3,0.086,0.272763633,0.25,0.25,0.0,0.0,10.23,195.3,0.086,0.272763633,,ONN-X96,OLR,42.0,19.0,12.0,11.0,41.0,59.0,42.0,4.0,33.0,12.0,0.0,45.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0012,S0063-100,12,F0011,Auto,LEAF Corning,46.5,10.23,0.0,0.01,0.0,11.895,195.3,0.086,0.272763633,0.25,0.25,0.0,0.0,10.23,195.3,0.086,0.272763633,,OLR,ONN-X96,42.0,4.0,33.0,12.0,0.0,45.0,42.0,19.0,12.0,11.0,41.0,59.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0231,S0045-100,29,F0232,Auto,LEAF Corning,61.0,13.42,0.0,0.01,0.0,15.53,256.2,0.086,0.312409987,0.25,0.25,0.0,0.0,13.42,256.2,0.086,0.312409987,,OLR,ONN-X96,44.0,6.0,10.0,9.0,47.0,49.0,43.0,49.0,27.0,10.0,20.0,56.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0232,29,S0045-100,F0231,Auto,LEAF Corning,61.0,13.42,0.0,0.01,0.0,15.53,256.2,0.086,0.312409987,0.25,0.25,0.0,0.0,13.42,256.2,0.086,0.312409987,,ONN-X96,OLR,43.0,49.0,27.0,10.0,20.0,56.0,44.0,6.0,10.0,9.0,47.0,49.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0237,S0048-100,29,F0238,Auto,SSMF,68.5,14.385,0.0,0.01,0.0,16.669999999,1150.8,0.058,0.413823633,0.25,0.25,0.0,0.0,14.385,1150.8,0.058,0.413823633,,OLR,ONN-X96,44.0,16.0,5.0,10.0,14.0,30.0,43.0,49.0,27.0,10.0,20.0,56.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0238,29,S0048-100,F0237,Auto,SSMF,68.5,14.385,0.0,0.01,0.0,16.669999999,1150.8,0.058,0.413823633,0.25,0.25,0.0,0.0,14.385,1150.8,0.058,0.413823633,,ONN-X96,OLR,43.0,49.0,27.0,10.0,20.0,56.0,44.0,16.0,5.0,10.0,14.0,30.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0067,29,S0049-100,F0068,Auto,LEAF Corning,52.5,11.55,0.0,0.01,0.0,13.375,220.5,0.086,0.289827534,0.25,0.25,0.0,0.0,11.55,220.5,0.086,0.289827534,,ONN-X96,OLR,43.0,49.0,27.0,10.0,20.0,56.0,43.0,49.0,48.0,10.0,47.0,7.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0068,S0049-100,29,F0067,Auto,LEAF Corning,52.5,11.55,0.0,0.01,0.0,13.375,220.5,0.086,0.289827534,0.25,0.25,0.0,0.0,11.55,220.5,0.086,0.289827534,,OLR,ONN-X96,43.0,49.0,48.0,10.0,47.0,7.0,43.0,49.0,27.0,10.0,20.0,56.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0053,29,S0052-100,F0054,Auto,SSMF,76.4,16.044,0.0,0.01,0.0,18.508,1283.52,0.058,0.437035467,0.25,0.25,0.0,0.0,16.044,1283.52,0.058,0.437035467,,ONN-X96,OLR,43.0,49.0,27.0,10.0,20.0,56.0,43.0,29.0,4.0,10.0,29.0,49.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0054,S0052-100,29,F0053,Auto,SSMF,76.4,16.044,0.0,0.01,0.0,18.508,1283.52,0.058,0.437035467,0.25,0.25,0.0,0.0,16.044,1283.52,0.058,0.437035467,,OLR,ONN-X96,43.0,29.0,4.0,10.0,29.0,49.0,43.0,49.0,27.0,10.0,20.0,56.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0203,14,S0031-100,F0204,Auto,LEAF Corning,53.5,11.77,0.0,0.01,0.0,13.605,224.7,0.086,0.292574776,0.25,0.25,0.0,0.0,11.77,224.7,0.086,0.292574776,,ONN-X96,OLR,43.0,48.0,1.0,11.0,16.0,17.0,44.0,19.0,16.0,11.0,19.0,44.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0204,S0031-100,14,F0203,Auto,LEAF Corning,53.5,11.77,0.0,0.01,0.0,13.605,224.7,0.086,0.292574776,0.25,0.25,0.0,0.0,11.77,224.7,0.086,0.292574776,,OLR,ONN-X96,44.0,19.0,16.0,11.0,19.0,44.0,43.0,48.0,1.0,11.0,16.0,17.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0239,S0049-100,14,F0240,Auto,LEAF Corning,52.5,11.55,0.0,0.01,0.0,13.375,220.5,0.086,0.289827534,0.25,0.25,0.0,0.0,11.55,220.5,0.086,0.289827534,,OLR,ONN-X96,43.0,49.0,48.0,10.0,47.0,7.0,43.0,48.0,1.0,11.0,16.0,17.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0240,14,S0049-100,F0239,Auto,LEAF Corning,52.5,11.55,0.0,0.01,0.0,13.375,220.5,0.086,0.289827534,0.25,0.25,0.0,0.0,11.55,220.5,0.086,0.289827534,,ONN-X96,OLR,43.0,48.0,1.0,11.0,16.0,17.0,43.0,49.0,48.0,10.0,47.0,7.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0063,14,S0050-100,F0064,Auto,SSMF,66.0,13.86,0.0,0.01,0.0,16.02,1108.8,0.058,0.40620192,0.25,0.25,0.0,0.0,13.86,1108.8,0.058,0.40620192,,ONN-X96,OLR,43.0,48.0,1.0,11.0,16.0,17.0,43.0,41.0,14.0,11.0,48.0,24.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0064,S0050-100,14,F0063,Auto,SSMF,66.0,13.86,0.0,0.01,0.0,16.02,1108.8,0.058,0.40620192,0.25,0.25,0.0,0.0,13.86,1108.8,0.058,0.40620192,,OLR,ONN-X96,43.0,41.0,14.0,11.0,48.0,24.0,43.0,48.0,1.0,11.0,16.0,17.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0061,14,S0056-100,F0062,Auto,SSMF,66.0,13.86,0.0,0.01,0.0,16.02,1108.8,0.058,0.40620192,0.25,0.25,0.0,0.0,13.86,1108.8,0.058,0.40620192,,ONN-X96,OLR,43.0,48.0,1.0,11.0,16.0,17.0,43.0,25.0,7.0,11.0,22.0,13.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
